MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,N_Traffic,NE_Traffic,E_Traffic,SE_Traffic,S_Traffic,SW_Traffic,W_Traffic,NW_Traffic,Clogging?
1,1,4,WN,914,N754SW,TUL,MDW,815,810,-5,110,88,75,583,933,5,1005,938,-27,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
1,1,4,DL,1706,N814DN,DTW,LAX,857,855,-2,318,303,267,1979,1040,18,1115,1058,-17,No,Yes,Yes,Yes,Yes,No,No,No,No
1,1,4,F9,530,N902FR,DEN,MDW,830,825,-5,134,137,112,895,1136,6,1144,1142,-2,No,No,No,No,No,Yes,Yes,No,No
1,1,4,DL,827,N678DL,FLL,ATL,645,639,-6,114,101,81,581,813,7,839,820,-19,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
1,1,4,EV,4411,N14568,MEM,EWR,600,552,-8,158,146,120,946,909,9,938,918,-20,Yes,Yes,Yes,No,Yes,No,No,No,No
1,1,4,AA,2381,N633AA,LAX,MCO,800,759,-1,280,270,257,2218,1526,3,1540,1529,-11,Yes,No,Yes,No,Yes,No,No,Yes,No
1,1,4,UA,1763,N68823,RSW,ORD,750,747,-3,187,176,161,1120,939,4,957,943,-14,No,Yes,No,Yes,No,Yes,No,No,No
1,1,4,NK,231,N620NK,ATL,FLL,700,725,25,108,100,80,581,855,10,848,905,17,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
1,1,4,B6,318,N183JB,JFK,BOS,645,638,-7,71,66,38,187,739,5,756,744,-12,No,No,No,No,Yes,Yes,No,No,No
1,1,4,US,610,N560UW,SFO,PHX,600,557,-3,114,120,87,651,840,17,854,857,3,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
1,1,4,DL,891,N924DN,MIA,ATL,625,621,-4,120,105,84,594,801,5,825,806,-19,Yes,No,Yes,No,No,Yes,No,No,No
1,1,4,WN,1974,N908WN,HOU,PHX,735,731,-4,175,167,153,1020,912,6,930,918,-12,Yes,Yes,No,No,No,No,No,No,No
1,1,4,EV,4756,N13908,CLT,ORD,600,559,-1,123,142,109,599,714,7,703,721,18,Yes,No,Yes,No,No,No,Yes,No,No
1,1,4,WN,530,N477WN,LAX,BNA,720,715,-5,230,216,202,1797,1246,5,1310,1251,-19,Yes,No,No,No,No,No,No,Yes,No
1,1,4,US,1737,N824AW,TPA,MIA,735,729,-6,62,51,36,204,814,6,837,820,-17,Yes,No,No,No,Yes,Yes,Yes,No,No
1,1,4,WN,1863,N253WN,DAL,BWI,705,703,-2,170,142,131,1209,1023,2,1055,1025,-30,No,Yes,No,No,No,No,Yes,No,No
1,1,4,DL,2351,N911DE,PBI,LGA,700,656,-4,168,185,143,1035,934,27,948,1001,13,No,Yes,No,Yes,Yes,No,No,No,No
1,1,4,AA,1310,N011AA,DFW,CLE,855,942,47,150,145,116,1021,1301,6,1225,1307,42,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
1,1,4,WN,4323,N295WN,CMH,LAS,715,717,2,280,262,250,1771,835,4,855,839,-16,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
1,1,4,MQ,3338,N925MQ,GSP,DFW,600,,,170,,,862,,,750,,,No,Yes,Yes,Yes,No,No,Yes,No,No
1,1,4,AA,1403,N3GDAA,AUS,LAX,715,759,44,205,192,171,1242,908,3,840,911,31,Yes,No,Yes,Yes,No,No,Yes,No,No
1,1,4,OO,5490,N920SW,SFO,PSP,900,900,0,86,96,69,421,1031,5,1026,1036,10,No,Yes,No,No,No,No,No,Yes,No
1,1,4,EV,2555,N830AS,SHV,DFW,640,656,16,65,63,42,190,753,6,745,759,14,Yes,No,No,Yes,No,No,Yes,Yes,No
